Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2OUR8g12h5qsGDs1v5lqvp,Swerve City,Koi No Yokan,Deftones,2012-11-09,164986,66,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu metal,alternative metal,rap metal,shoegaze,rock",Reprise,0.6,0.7,10,-2.963,1,0.0656,0.0001,0.00811,0.67,0.3,112,4
spotify:track:7lwHRSywzHORAiGfzGbaVd,when i first notice,when i first notice,Pumpkins At Alaska,2022-05-27,306782,29,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai indie pop,thai indie rock,thai pop",PUMPKINSATALASKA,0.1,0.1,11,-12.922,0,0.0323,0.868,0.806,0.129,0.1,60,4
spotify:track:3a4nbRwsKOSjb0wcq0Hy0S,Clouds,Saliva Bastards,Saliva Bastards,2006-11-11,136630,27,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai indie pop,thai pop",Saliva Bastards,0.2,0.2,2,-9.322,1,0.0411,0.222,0.00000438,0.0555,0.2,80,4
spotify:track:5Pjw016PCaBpdftZfiyD1P,You'll Be Fine,Nyctophile,Follows,2018-01-02,400285,20,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"post-rock,shoegaze,thai rock,thai indie pop,thai indie rock,dream pop",Follows,0.1,0.1,6,-6.042,0,0.0378,0.00489,0.182,0.104,0.1,70,4
spotify:track:5QDoT3BEIuCsBBb66hNxMB,ให้เธอ,I.Q.180,Silly Fools,1998-06-25,264373,40,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,phleng phuea chiwit,t-pop",GMM Music Public Company Limited,0.3,0.3,6,-14.208,1,0.0289,0.036,0,0.289,0.3,82,4
spotify:track:0nQdGITSwEwk7h39kTzCGj,Metaphor,am i moon,View From The Bus Tour,2023-08-20,189000,21,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,thai indie pop,View From The Bus Tour,0.1,0.1,2,-13.47,1,0.0293,0.937,0.0143,0.109,0.1,69,4
spotify:track:6IjsDgykl5DaiPjnEWfcjx,แหลก,GOLDEN ERA,Season Five,2013-12-04,252973,47,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,t-pop,thai rock",GMM Music Public Company Limited,0.4,0.4,9,-10.761,1,0.0419,0.866,0.00000161,0.191,0.4,80,4
spotify:track:6RcKde7WeJ7Iu91Hd7Afie,ฝัน,Montage EP,Solitude Is Bliss,2013-12-29,172106,28,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai indie rock,thai indie pop,thai pop",Independant,0.1,0.1,7,-13.204,1,0.0323,0.978,0.939,0.115,0.2,60,4
spotify:track:07O2Mt93rJy254RgeZMz7Z,Sex,Her Social Anxiety,Solitude Is Bliss,2015-11-15,284490,18,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai indie rock,thai indie pop,thai pop",Minimal Records,0.5,0.5,7,-8.483,1,0.0448,0.35,0.212,0.172,0.5,67,3
spotify:track:2Z26fYDWeOVKOGmrNsU9AO,Secret,Such A Vast Sea,Solitude Is Bliss,2023-05-22,283500,20,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai indie rock,thai indie pop,thai pop",Pollinate Records,0.2,0.2,1,-9.053,1,0.0284,0.571,0.622,0.137,0.2,42,3
spotify:track:3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,Submarine,The Marías,2024-05-31,236906,90,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,bedroom pop,Nice Life/Atlantic,0.1,0.1,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.1,50,4
spotify:track:1LiTVFsMa4qUKNqRT1SODz,เหงา,Juicy,Silly Fools,2002-03-26,308866,43,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,phleng phuea chiwit,t-pop",GMM Music Public Company Limited,0.7,0.7,3,-6.905,1,0.033,0.000447,0.000202,0.0945,0.7,82,4
spotify:track:3LWTG3BgFF8W3gjFNsLRCv,ปล่อย,Try To Be Nice,Yarinda,2012-03-28,245773,25,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,thai pop,Smallroom,0.1,0.1,0,-6.182,1,0.0356,0.651,0.0024,0.184,0.1,72,4
spotify:track:0tIktiryIXKMMWvkeBjLfe,ร่องรอย,A Blessing in Disguise,Flowers For Daryl,2023-01-23,373077,6,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,shoegaze,thai pop",Brand New Me Records,0.2,0.2,11,-9.455,1,0.0545,0.0000185,0.221,0.315,0.2,40,4
spotify:track:0VFT2xUZ0vHBS4j529LukK,ทะเลและเวลา,กอด,T-Bone,2002,238666,20,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai indie rock,rocksteady",Sony Music BEC Tero,0.1,0.1,0,-18.956,1,0.0326,0.731,0.0278,0.116,0.1,53,4
spotify:track:6xlONSMOpyWTHhLus1j59v,หนาว,SoundShake,Clash,2003-04-04,231986,46,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,phleng phuea chiwit,luk thung,southern thai music",GMM Music Public Company Limited,0.5,0.5,9,-4.934,1,0.0332,0.257,0.00000182,0.138,0.5,70,4
spotify:track:32M6YQye8nPUQRTTkDQuMv,Chocolate,Hangman,HANGMAN,2007-08-09,252533,50,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,phleng phuea chiwit,southern thai music",GMM Music Public Company Limited,0.8,0.8,10,-6.605,0,0.0346,0.0145,0.0000227,0.155,0.8,120,4
spotify:track:2tepckSwNptE6vejS682m8,ไม่,Mint,Silly Fools,2000-09-28,265266,44,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,phleng phuea chiwit,t-pop",GMM Music Public Company Limited,0.4,0.7,1,-7.351,1,0.0566,0.0000194,0.00198,0.0512,0.3,100,4
spotify:track:6iSqt8YenJ8rGxq6BWOBsj,ฟื้น (Resurrection),Resurrection,Zweed n' Roll,2022-02-18,291290,21,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai rock,thai indie pop",WM/Thailand,0.2,0.2,0,-15.774,1,0.0324,0.646,0.182,0.13,0.2,62,4
spotify:track:5wqc13rTESxT6B4Mr5BE8r,แค่ฉันยังรู้สึก (She Plays and He Plays),Rainbow Landscape,YEW,2024-08-15,292653,27,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,t-pop,thai indie pop,thai indie rock",YEW,0.1,0.4,4,-5.17,1,0.0461,0.0254,0.00172,0.092,0.2,68,4
spotify:track:7w9uDC1tPHg6EFl2YWoEcF,ฉันอยู่ในนั้น,CLIPS (Expanded Version),The Jukks,2017-04-28,159000,22,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,thai indie rock,phleng phuea chiwit",Smallroom,0.5,0.5,5,-6.089,1,0.0279,0.138,0.00000419,0.161,0.4,64,4
spotify:track:16PAInudoPPdxePAOFID3R,ภาพทรงจำ ( Linger on ... ),ภาพทรงจำ ( Linger on ... ),Television off,2020-12-15,252077,41,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai rock,thai indie pop,thai indie rock",Televisionoff,0.3,0.3,3,-9.217,1,0.0253,0.293,0.000641,0.209,0.1,51,3
spotify:track:5C6KXkYEKiP0A3ABdBYDyz,ยื้อ (Change),Push (Me) Again,Pause,1996,285466,28,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai rock,t-pop",Bakery Music,0.6,0.6,1,-6.356,1,0.0481,0.169,0.00000676,0.0752,0.5,70,4
spotify:track:0NkPBmtPr3ELsYw5G5Opon,สุขขา,สุขขา,MALAIMAN DOWNTOWN,2025-01-22,240000,13,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,,Boonrun Records,0.6,0.5,10,-8.77,1,0.0597,0.0308,0.00196,0.395,0.6,55,4
spotify:track:7LUaaUBWsDJ7pwxGqB3kKt,ฉันพอเข้าใจ,Try To Be Nice,Yarinda,2012-03-28,264933,18,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,thai pop,Smallroom,0.1,0.1,10,-3.852,0,0.0821,0.454,0.00594,0.11,0.1,70,4
spotify:track:3bePXE4VVwqAB2DmhJAsBx,Soul Lam Plearn,"Sound of Siam, Vol. 1 - Leftfield Luk Thung, Jazz & Molam in Thailand 1964-1975",The Petch Phin Thong Band,2010-09-09,180653,50,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,luk thung,Soundway Records Ltd,0.8,0.7,1,-8.914,1,0.0369,0.447,0.355,0.154,0.9,106,4
spotify:track:4DILeGsqBFHsHgkgnKykKm,Bump Lam Plearn,"The Sound of Siam, Vol. 2 (Molam & Luk Thung Isan from North-East Thailand 1970 - 1982)",The Petch Phin Thong Band,2014-05-26,183786,34,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,luk thung,Soundway Records Ltd,0.8,0.8,1,-7.906,1,0.0345,0.298,0.863,0.0688,1,120,4
spotify:track:1cDQiBpLuCAqWR6U0ILs3g,Lam San Disco,21st Century Molam,The Paradise Bangkok Molam International Band,2014-12-01,272645,36,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"phleng phuea chiwit,luk thung",Zudrangma Records,0.8,0.8,0,-8.548,1,0.0287,0.00498,0.812,0.173,0.7,128,4
spotify:track:5Dbzppo08qD0dcyiWegc47,นางในฝัน,อาจยังไม่สาย,Sqweez Animal,2007-02-01,281640,33,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai rock,thai indie pop",Spicy Disc,0.1,0.3,9,-7.705,0,0.0249,0.588,0.458,0.0814,0.2,75,4
spotify:track:7DZJPD76Jgm2wVcchQ32aE,Golden Whistle,Please Verify That You Are Not a Robot,Solitude Is Bliss,2019-12-05,200625,25,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai indie rock,thai indie pop,thai pop",Minimal Records,0.3,0.4,3,-6.998,1,0.088,0.683,0.000821,0.127,0.6,60,4
spotify:track:2Lldev6yo6oYovnu3OTLks,Lose,Have A Good Health,Telever,2019-04-23,339684,13,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"shoegaze,post-rock,thai indie rock,dream pop,thai indie pop",Brand New Me Records,0.2,0.3,4,-11.605,1,0.0306,0.00000118,0.897,0.0833,0.1,111,4
spotify:track:5uLRm67XjHPO9GOiYKVzJk,จะให้ไปรักใครได้อีก (Ngua Ngia),จะให้ไปรักใครได้อีก (Ngua Ngia),Television off,2025-09-30,275342,47,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai rock,thai indie pop,thai indie rock",Smallroom Bangkok Pop Music Label,0.5,0.6,0,-6.352,1,0.0385,0.00267,0.0000925,0.538,0.3,73,4
spotify:track:06Aiy9Au1BwL0F34Xbzj3M,หมดเงินหมดใจ,Hangman,HANGMAN,2007-08-09,221320,36,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,phleng phuea chiwit,southern thai music",GMM Music Public Company Limited,0.7,0.9,3,-5.117,1,0.0879,0.042,0,0.216,0.8,150,4
spotify:track:08xU48Yiciutnz4YXpsw1h,วันดีดี,25 Hours,25 hours,2015-12-16,214026,39,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,t-pop,phleng phuea chiwit",Believe Records,0.6,0.6,1,-3.561,0,0.0377,0.013,0.0022,0.242,0.6,67,4
spotify:track:1zudGtTkBVZTJk3ITDrAlC,Luke,นกกระจอก,Solitude Is Bliss,2017-12-21,159811,28,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai indie rock,thai indie pop,thai pop",Minimal Records,0.2,0.4,6,-9.188,1,0.0307,0.862,0.109,0.152,0.4,71,4
spotify:track:0MbhWo5iArWgbs0x8VNS0W,รอ,Appetizer,Save Da Last Piece,2005-10-01,213666,25,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai indie pop",Spicy Disc,0.2,0.4,0,-10.251,1,0.0342,0.769,0.00501,0.266,0.3,102,4
spotify:track:5CotgEi6r6Nt5TqoDfrvu4,สิ่งที่ไม่เคยบอก,Love Me Love My Life,Moderndog,2001,358093,32,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,thai indie pop,phleng phuea chiwit",Bakery Music,0.1,0.3,9,-12.904,1,0.0307,0.0076,0.000928,0.106,0.1,162,4
spotify:track:7iTf3jfh8fEopXYD8f8kqM,เสียดาย,Play,Bodyslam,2009-06-26,299960,43,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,phleng phuea chiwit,t-pop,luk thung",GMM Music Public Company Limited,0.6,0.6,7,-6.712,1,0.04,0.123,0,0.135,0.7,94,4
spotify:track:7x2zRpdmW8garaAd2Z8fMH,Miss Miss,Daydreamer,Paradox,2011-12-16,187986,18,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,phleng phuea chiwit,t-pop",GMM Music Public Company Limited,0.5,0.5,9,-9.008,1,0.0289,0.619,0.0489,0.152,0.7,63,4
spotify:track:7HwxVIrGerK4Vb1DGgsrRt,Where,พราว,พราว,2015-04-04,180266,21,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop",Thai Proud Band,0.6,0.7,9,-13.309,1,0.0294,0.201,0.000436,0.0877,0.7,73,4
spotify:track:4oQNHWKq7JYz3RUuRdFAL0,กระดาษ,Montage EP,Solitude Is Bliss,2013-12-29,344373,36,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai indie rock,thai indie pop,thai pop",Independant,0.1,0.2,0,-8.941,1,0.0372,0.27,0.547,0.142,0.1,59,4
spotify:track:4E5SLH73q6kFSkmTZMrbFE,รักได้แค่คนเดียว,Antifungal,YENTED,2017,258471,39,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai hip hop,thai indie pop,t-pop",Yented,0.1,0.1,9,-16.801,1,0.0502,0.809,0.000014,0.114,0.1,68,4
spotify:track:6GDRYNTb0fw62QfuFKVJ8N,ส่วนลึก,Instinct,Desktop Error,2006,173413,15,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,shoegaze,post-rock,phleng phuea chiwit,thai indie pop,thai pop",DE Records,0.4,0.5,9,-7.324,1,0.0447,0.00134,0.23,0.122,0.1,75,4
spotify:track:0dz7CG4PilygZufNh79F7Q,ร้อง,6lur,Slur,2024-10-15,257600,26,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,thai indie pop,thai indie rock",Smallroom Bangkok Pop Music Label,0.1,0.5,7,-5.962,1,0.0327,0.0173,0.013,0.0662,0.1,150,4
spotify:track:5kwHzrkZLC3RO3KvvXDSlW,อย่ามองกลับหลัง,พราว,พราว,2015-04-04,196933,25,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop",Thai Proud Band,0.7,0.6,2,-10.997,1,0.0402,0.21,0,0.228,0.8,158,4
spotify:track:3xR38iIBaOGbllL26pGH0K,ไหนวะ,ไหนวะ,The Parkinson,2022-08-04,240500,49,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,t-pop",Spicy Disc,0.5,0.6,8,-7.486,1,0.0403,0.27,0.00000125,0.134,0.2,69,4
spotify:track:35U66981O2zq8vRESqQfFr,Shine for Chlid,Macaron Psych Trip,VEGA(เวก้า),2018-11-26,263076,30,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai indie rock",VEGA,0.6,0.5,7,-10.645,0,0.0291,0.584,0.119,0.0866,0.4,161,4
spotify:track:3xiqRQozlnTCVlkAVX4pEG,My Skin,"Thai Shoegaze Compilation, Vol.1",La Nuit,2020-06-24,308583,14,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"shoegaze,post-rock",Thai Shoegaze Compilation,0.6,0.7,4,-8.583,1,0.0373,0.00269,0.247,0.0925,0.4,99,4
